NODE_KEY,PO_ID,NOTE_GUID,PARTNER_GUID_NODE_KEY,CURRENCY_CODE,GROSS_AMOUNT,NET_AMOUNT,TAX_AMOUNT,LIFECYCLE_STATUS,ORDERING_STATUS,INVOICING_STATUS
C5780EA698D71EDE8CB7136C91DC0254,300000000,C5780EA698D71EDE8CB7135CF72D4254,C5780EA698D71EDE8CB712767CA00254,EUR,3913.91,3289.00,624.91,P,,I
C5780EA698D71EDE8CB7136C91DC2254,300000001,C5780EA698D71EDE8CB7135CF72D6254,C5780EA698D71EDE8CB712767C9DC254,EUR,43534.96,36584.00,6950.96,D,,I
C5780EA698D71EDE8CB7136C91DC4254,300000002,C5780EA698D71EDE8CB7135CF72D8254,C5780EA698D71EDE8CB712767CA04254,EUR,18142.74,15246.00,2896.74,P,,I
C5780EA698D71EDE8CB7136C91DC6254,300000003,C5780EA698D71EDE8CB7135CF72DA254,C5780EA698D71EDE8CB712767C9C6254,EUR,6251.07,5253.00,998.07,D,,I
C5780EA698D71EDE8CB7136C91DC8254,300000004,C5780EA698D71EDE8CB7135CF72DC254,C5780EA698D71EDE8CB712767C9B4254,EUR,4467.94,3754.57,713.37,P,,I
C5780EA698D71EDE8CB7136C91DCA254,300000005,C5780EA698D71EDE8CB7135CF72DE254,C5780EA698D71EDE8CB712767C9B0254,EUR,6362.89,5346.96,1015.93,N,,I
C5780EA698D71EDE8CB7136C91DCC254,300000006,C5780EA698D71EDE8CB7135CF72E0254,C5780EA698D71EDE8CB712767C9CE254,EUR,4348.26,3654.00,694.26,D,,I
C5780EA698D71EDE8CB7136C91DCE254,300000007,C5780EA698D71EDE8CB7135CF72E2254,C5780EA698D71EDE8CB712767C9FA254,EUR,1857.50,1560.92,296.58,P,,I
C5780EA698D71EDE8CB7136C91DD0254,300000008,C5780EA698D71EDE8CB7135CF72E4254,C5780EA698D71EDE8CB712767C9CC254,EUR,2791.74,2346.00,445.74,D,,I
C5780EA698D71EDE8CB7136C91DD2254,300000009,C5780EA698D71EDE8CB7135CF72E6254,C5780EA698D71EDE8CB712767C9C2254,EUR,1427.76,1199.80,227.96,P,,I
C5780EA698D71EDE8CB7136C91DD4254,300000010,C5780EA698D71EDE8CB7135CF72E8254,C5780EA698D71EDE8CB712767C9D2254,EUR,7261.38,6102.00,1159.38,P,,I
C5780EA698D71EDE8CB7136C91DD6254,300000011,C5780EA698D71EDE8CB7135CF72EA254,C5780EA698D71EDE8CB712767C9F4254,EUR,475.52,399.60,75.92,,,I
C5780EA698D71EDE8CB7136C91DD8254,300000012,C5780EA698D71EDE8CB7135CF72EC254,C5780EA698D71EDE8CB712767C9E4254,EUR,15621.13,13127.00,2494.13,P,,I
C5780EA698D71EDE8CB7136C91DDA254,300000013,C5780EA698D71EDE8CB7135CF72EE254,C5780EA698D71EDE8CB712767C9B0254,EUR,6320.04,5310.95,1009.09,P,,I
C5780EA698D71EDE8CB7136C91DDC254,300000014,C5780EA698D71EDE8CB7135CF72F0254,C5780EA698D71EDE8CB712767C9F2254,EUR,239.19,201.00,38.19,P,,I
C5780EA698D71EDE8CB7136C91DDE254,300000015,C5780EA698D71EDE8CB7135CF72F2254,C5780EA698D71EDE8CB712767C9C8254,EUR,13075.83,10988.10,2087.73,P,,I
C5780EA698D71EDE8CB7136C91DE0254,300000016,C5780EA698D71EDE8CB7135CF72F4254,C5780EA698D71EDE8CB712767C9D8254,EUR,1942.08,1632.00,310.08,P,,I
C5780EA698D71EDE8CB7136C91DE2254,300000017,C5780EA698D71EDE8CB7135CF72F6254,C5780EA698D71EDE8CB712767C9B0254,EUR,117.80,98.99,18.81,P,,I
C5780EA698D71EDE8CB7136C91DE4254,300000018,C5780EA698D71EDE8CB7135CF72F8254,C5780EA698D71EDE8CB712767C9BA254,EUR,19813.50,16650.00,3163.50,P,,I
C5780EA698D71EDE8CB7136C91DE6254,300000019,C5780EA698D71EDE8CB7135CF72FA254,C5780EA698D71EDE8CB712767C9B4254,EUR,8448.47,7099.56,1348.91,P,,I
C5780EA698D71EDE8CB7136C91DE8254,300000020,C5780EA698D71EDE8CB7135CF72FC254,C5780EA698D71EDE8CB712767C9F6254,EUR,3980.08,3344.60,635.48,P,,I
C5780EA698D71EDE8CB7136C91DEA254,300000021,C5780EA698D71EDE8CB7135CF72FE254,C5780EA698D71EDE8CB712767C9BA254,EUR,7625.52,6408.00,1217.52,P,,I
C5780EA698D71EDE8CB7136C91DEC254,300000022,C5780EA698D71EDE8CB7135CF7300254,C5780EA698D71EDE8CB712767C9CC254,EUR,1535.10,1290.00,245.10,P,,I
C5780EA698D71EDE8CB7136C91DEE254,300000023,C5780EA698D71EDE8CB7135CF7302254,C5780EA698D71EDE8CB712767CA00254,EUR,1624.35,1365.00,259.35,P,,I
C5780EA698D71EDE8CB7136C91DF0254,300000024,C5780EA698D71EDE8CB7135CF7304254,C5780EA698D71EDE8CB712767C9BC254,EUR,13781.39,11581.00,2200.39,P,,I
