NODE_KEY,PARENT_KEY_NODE_KEY,SO_ITEM_GUID,QUANTITY,QUANTITY_UNIT,GROSS_AMOUNT,NET_AMOUNT,TAX_AMOUNT,CURRENCY_CODE,PRODUCT_GUID,INV_ITEM_POS
40F2E9AFC5011EE7AEC4A3700910055C,40F2E9AFC5011EE7AEC4A36FBC0BC55C,40F2E9AFC5011EE7AEC4A36B7238055C,1000,EA,1.14,95600,18164,EUR,42F2E9AFC4EF1EE7A4AB154ADF148C01,10
40F2E9AFC5011EE7AEC4A3700910255C,40F2E9AFC5011EE7AEC4A36FBC0BC55C,40F2E9AFC5011EE7AEC4A36B7238255C,2000,EA,2.97,2.5,47462,EUR,42F2E9AFC4EF1EE7A4AB154ADF14AC01,20
40F2E9AFC5011EE7AEC4A3700910455C,40F2E9AFC5011EE7AEC4A36FBC0BC55C,40F2E9AFC5011EE7AEC4A36B7238455C,2000,EA,3.74,3.14,59660,USD,42F2E9AFC4EF1EE7A4AB154ADF14CC01,30
40F2E9AFC5011EE7AEC4A3700910655C,40F2E9AFC5011EE7AEC4A36FBC0BC55C,40F2E9AFC5011EE7AEC4A36B7238655C,2000,EA,3.93,3.3,62700,EUR,42F2E9AFC4EF1EE7A4AB154ADF14EC01,40
40F2E9AFC5011EE7AEC4A3700910855C,40F2E9AFC5011EE7AEC4A36FBC0BC55C,40F2E9AFC5011EE7AEC4A36B7238855C,3000,EA,1.07,89700,17043,USD,42F2E9AFC4EF1EE7A4AB154ADF150C01,50
40F2E9AFC5011EE7AEC4A3700910A55C,40F2E9AFC5011EE7AEC4A36FBC0BC55C,40F2E9AFC5011EE7AEC4A36B7238A55C,2000,EA,4.76,4,75962,EUR,42F2E9AFC4EF1EE7A4AB154ADF152C01,60
40F2E9AFC5011EE7AEC4A3700910C55C,40F2E9AFC5011EE7AEC4A36FBC0BC55C,40F2E9AFC5011EE7AEC4A36B7238C55C,2000,EA,5.47,4.6,87362,JPY,42F2E9AFC4EF1EE7A4AB154ADF154C01,70
40F2E9AFC5011EE7AEC4A3700910E55C,40F2E9AFC5011EE7AEC4A36FBC0BC55C,40F2E9AFC5011EE7AEC4A36B7238E55C,2000,EA,54740,46000,8740,EUR,42F2E9AFC4EF1EE7A4AB154ADF15EC01,80
40F2E9AFC5011EE7AEC4A3700911055C,40F2E9AFC5011EE7AEC4A36FBC0BC55C,40F2E9AFC5011EE7AEC4A36B7239055C,3000,EA,1.02,85500,16245,GBP,42F2E9AFC4EF1EE7A4AB154ADF160C01,90
40F2E9AFC5011EE7AEC4A3700911255C,40F2E9AFC5011EE7AEC4A36FBC0BC55C,40F2E9AFC5011EE7AEC4A36B7239255C,3000,EA,1.23,1.04,19665,EUR,42F2E9AFC4EF1EE7A4AB154ADF162C01,100
40F2E9AFC5011EE7AEC4A3700911455C,40F2E9AFC5011EE7AEC4A36FBC0BE55C,40F2E9AFC5011EE7AEC4A36B723A655C,3000,EA,1.83,1.54,29184,USD,42F2E9AFC4EF1EE7A4AB154ADF15CC01,100
40F2E9AFC5011EE7AEC4A3700911655C,40F2E9AFC5011EE7AEC4A36FBC0BE55C,40F2E9AFC5011EE7AEC4A36B723A455C,2000,EA,4,3.36,63802,ARS,42F2E9AFC4EF1EE7A4AB154ADF15AC01,90
40F2E9AFC5011EE7AEC4A3700911855C,40F2E9AFC5011EE7AEC4A36FBC0BE55C,40F2E9AFC5011EE7AEC4A36B723A255C,3000,EA,53193,44700,8493,MXN,42F2E9AFC4EF1EE7A4AB154ADF158C01,80
