NODE_KEY,SO_GUID,DLY_NOTE_NUMBER,CREATED_BY,CREATED_AT,CHANGED_BY,CHANGED_AT,GROSS_AMOUNT,NET_AMOUNT,TAX_AMOUNT,CURRENCY_CODE,BUYER_GUID,PAYMENT_STATUS
40F2E9AFC5011EE7AEC4A36FBC0BC55C,40F2E9AFC5011EE7AEC4A36A95B7455C,500040260,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.101.230.0000000000,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.107.230.0000000000,25.87,21.737,4.13003,EUR,40F2E9AFC5011ED7A8B9774C83388DB9,
40F2E9AFC5011EE7AEC4A36FBC0BE55C,40F2E9AFC5011EE7AEC4A36A95B7655C,500040261,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.102.230.0000000000,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.108.230.0000000000,14.6,12.271,2.33149,EUR,42F2E9AFC4EF1EE7A4AB15474379EC01,
40F2E9AFC5011EE7AEC4A36FBC0C055C,40F2E9AFC5011EE7AEC4A36A95B7855C,500040262,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.103.230.0000000000,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.109.230.0000000000,5.63,4.732,89908,EUR,42F2E9AFC4EF1EE7A4AB15474379CC01,
40F2E9AFC5011EE7AEC4A36FBC0C255C,40F2E9AFC5011EE7AEC4A36A95B7A55C,500040263,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.104.230.0000000000,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.110.230.0000000000,1.7,1.43197,27207,EUR,42F2E9AFC4EF1EE7A4AB1547437A2C01,P
40F2E9AFC5011EE7AEC4A36FBC0C455C,40F2E9AFC5011EE7AEC4A36A95B7C55C,500040264,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.105.230.0000000000,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.111.230.0000000000,76124,63970,12154,EUR,42F2E9AFC4EF1EE7A4AB1547437A2C01,P
40F2E9AFC5011EE7AEC4A36FBC0C655C,40F2E9AFC5011EE7AEC4A36A95B7E55C,500040265,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.106.230.0000000000,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.112.230.0000000000,101.3,85.1254,16.17382,EUR,42F2E9AFC4EF1EE7A4AB1547437A6C01,
40F2E9AFC5011EE7AEC4A36FBC0C855C,40F2E9AFC5011EE7AEC4A36A95B8055C,500040266,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.107.230.0000000000,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.113.230.0000000000,25073,21070,4003,EUR,40F2E9AFC5011ED7A8B96BFBA31EAD48,P
40F2E9AFC5011EE7AEC4A36FBC0CA55C,40F2E9AFC5011EE7AEC4A36A95B8255C,500040267,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.108.230.0000000000,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.114.230.0000000000,10.31,8.665,1.64635,EUR,40F2E9AFC5011ED7A8B96DBA64F9CD48,
40F2E9AFC5011EE7AEC4A36FBC0CC55C,40F2E9AFC5011EE7AEC4A36A95B8455C,500040268,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.109.230.0000000000,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.115.230.0000000000,19516,16400,3116,EUR,42F2E9AFC4EF1EE7A4AB1547437A8C01,P
40F2E9AFC5011EE7AEC4A36FBC0CE55C,40F2E9AFC5011EE7AEC4A36A95B8655C,500040269,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.110.230.0000000000,42F2E9AFC4EF1EE7A4AB154743444C01,20.170.116.230.0000000000,3.97,3.338,63422,EUR,40F2E9AFC5011ED7A8B9774C83388DB9,
